name,property_type_name,district_name,bedroom_count,Billion VND,area
"Bán Căn Hộ 4 NGỦ Mulberry Lane, Mỗ Lao, Hà Đông, Hà Nội chỉ với 8,x tỷ, TÚ : [phone_number]",Căn hộ chung cư,Hà Đông,4.0,8.8,154.0
Bán gấp nhà Kim Hoa Đống Đa 30m2 6 tỷ,Nhà,Đống Đa,2.0,6.0,30.0
Bán Nhà mặt phố Cù Chính Lan 35m2 6 tầng thang máy phù hợp ở và kinh doanh vp spa...,Nhà,Thanh Xuân,4.0,15.5,35.0
"Bán nhà phố giáp nhị hoàng mai diện tích 35m. 3 tầng. mặt tiền 4.2m giá 5,95 tỷ",Nhà,Hoàng Mai,2.0,5.95,35.0
Bán nhà 7 tầng lô góc siêu vip gần mặt phố thạch bàn gần aeon mall long biên,Nhà,Long Biên,4.0,15.7,47.0
"6T thang máy, Cầu Diễn - Nam Từ Liêm, 40m2, chào 7,6 tỷ, 10m ô tô tránh",Nhà,Nam Từ Liêm,3.0,7.6,40.0
"Nhà đẹp Xuân Đỉnh, 33m2 x 6 tầng, lô góc, ô tô ngủ trong nhà, mặt ngõ sát phố, không lỗi chỉ 8.7 tỷ",Nhà,Bắc Từ Liêm,4.0,8.7,33.0
"Bán căn hộ 2PN đầy đủ nội thất tại Home City Trung Kính, 5,6 tỷ",Căn hộ chung cư,Cầu Giấy,2.0,5.6,68.0
"Bán NR 36,7m2, 8,8 tỷ, 3PN, 4WC, Định Công Hạ, Định Công, Hoàng Mai, Hà Nội",Nhà,Hoàng Mai,3.0,8.8,36.7
DÂN XÂY-LÔ GÓC-NGÕ THÔNG-MẶT TIỀN RỘNG-FULL ĐỒ GỖ TỰ NHIÊN-GẦN Ô TÔ TRÁNH-2 THOÁNG-DÒNG TiỀN -CƠ,Nhà,Ba Đình,2.0,8.5,40.0
Lạc Long Quân - 42m2 x 6 tầng - Thoáng trước sau - View Hồ Tây ở sướng - Duy nhất 1 căn,Nhà,Tây Hồ,3.0,7.5,42.0
"Bán căn hộ Diamond Park Plaza, 16,16 tỷ, 97m2, 3PN, 2WC giá tốt",Căn hộ chung cư,Ba Đình,3.0,16.16,97.0
"Chính chủ bán căn góc 3N GS giá 5 tỷ, tầng 22, BC Đông Nam, full đồ, có slot ô tô, có hỗ trợ vay NH",Căn hộ chung cư,Nam Từ Liêm,3.0,5.0,75.6
Gấp! Quỹ Căn 3PN view công viên Giá tốt nhất The Matrix One Premium Mễ Trì Nam Từ Liêm,Căn hộ chung cư,Nam Từ Liêm,3.0,13.9,116.5
"Gia đình em bán căn hộ 72m ( 2n2w) tại 90 Nguyễn Tuân. Sẵn sổ, Full đồ đẹp, Giá : 6.3 tỷ",Căn hộ chung cư,Thanh Xuân,2.0,6.3,71.0
"Chủ lên căn to hơn, Chính chủ cần bán căn Chung Cư toà CT1 The Pride để lại toàn nội thất",Căn hộ chung cư,Hà Đông,3.0,5.2,98.0
"Chính chủ bán căn hộ 3 ngủ tại CC cư Gold Season - 47 Nguyễn Tuân, 89m2, full đồ, sổ đỏ, giá 7.8 tỷ",Căn hộ chung cư,Thanh Xuân,3.0,7.8,89.0
"Bán CC Ecohome 3 DT 65m2, 2PN, 2WC tại Tân Xuân, Bắc Từ Liêm, 3,5 tỷ VND",Căn hộ chung cư,Bắc Từ Liêm,2.0,3.5,65.0
"Lô góc kinh doanh, vỉa hè thênh thang Văn Phú Hà Đông DT 130m2, 5 tầng, MT 20m, giá 40 tỷ",Biệt thự/Nhà liền kề,Hà Đông,4.0,40.0,130.0
"Chính chủ cần bán căn nhà phố Trương Định - Tân Mai - Hoàng Mai - 1,8 tỷ",Nhà,Hoàng Mai,2.0,1.8,19.0
"Chính chủ bán căn hộ cao cấp goldsilk vạn phúc 3pn, full nội thất",Căn hộ chung cư,Hà Đông,3.0,7.0,120.0
Bán nhà phố Láng Hạ nhà đẹp ở luôn giá siêu rẻ,Nhà,Đống Đa,4.0,6.3,30.0
Tôi là chính chủ bán căn hộ 74m2 tòa CT14 đối diện Lotte Tây Hồ. LH [phone_number],Căn hộ chung cư,Tây Hồ,2.0,5.49,75.0
"Bán nhà riêng Mỹ Đình, dt 56m2, ô tô đỗ cửa, giá 13.8 tỷ. Lh: [phone_number]",Nhà,Nam Từ Liêm,4.0,13.8,56.0
Chủ nhà đi nước ngoài bán nhanh Roman giá 5.45 tỷ trong ngày hôm nay rẻ nhất thị trường,Căn hộ chung cư,Nam Từ Liêm,2.0,5.45,69.5
"Bán nhà phố Thái Hà, trung tâm Đống Đa 69m2x5T, 10m ra ô tô, thang máy, 15.5tỷ, gần phố",Nhà,Đống Đa,3.0,15.5,69.0
"Bán nhà phường Ngọc Thụy Long Biên nhà dân xây trong đêgara ô tô thang máy 105m2 5 tầng giá 19,9 Tỷ",Nhà,Long Biên,5.0,19.9,105.0
"Chính chủ cần bán căn chung cư BMG 3PN sẵn sổ đỏ, giao dịch ngay",Căn hộ chung cư,Long Biên,3.0,6.2,104.12
"GIÁ THẬT cần bán gấp căn hộ 2 ngủ tại PCC1 Triều Khúc, 6,4 tỷ, 77 m2, đẹp, nhiều tiện ích",Căn hộ chung cư,Thanh Xuân,2.0,6.4,77.0
"Bán CH 3N, 95m2 tầng thấp tại A10 Nam Trung Yên, Cầu Giấy, Hà Nội",Căn hộ chung cư,Cầu Giấy,3.0,7.7,95.0
"Bán nhà văn phú oto vào nhà- 5 tầng thang máy mặt tiền rộng 11,3 tỷ",Nhà,Hà Đông,3.0,11.3,34.0
Hữu hưng nhà 3 tầng đẹp ngõ nông sổ sẵn giao dịch 7.05 tỷ(đtl69108),Nhà,Nam Từ Liêm,4.0,7.05,33.0
"Bán nhà Lô góc,View Hồ, Gara Ôtô, 37M, 5 tầng, MT 6M, Gía 6,8 Tỷ",Nhà,Hoàng Mai,4.0,6.8,37.0
Bán nhà mặt phố Xã Đàn 86m2 - 5T - MT 5.5m - 47 tỷ - vỉa hè - 2 mặt phố - kinh doanh đỉnh,Nhà,Đống Đa,4.0,47.0,86.0
"Siêu VIP Toà Văn Phòng Mặt Phố Lạc Long Quân Tây Hồ, DT 260M 8T MT 8.5M KD 250Tr/Tháng Giá 110Tỷ.",Nhà,Tây Hồ,4.0,110.0,260.0
"Mặt Phố Đại Linh - Lê Quang Đạo kéo dài. DT 90m2 mặt tiền 6,6m. Giá 24,3tỷ. Xây VP hoặc khách sạn.",Nhà,Nam Từ Liêm,1.0,24.3,90.0
"(CC) Tôn Đức Thắng - Đống Đa. 23m2 x5T, nhà đẹp ở ngay, có ban công, ngõ thông, sđcc. Giá 5.68 tỷTL",Nhà,Đống Đa,3.0,5.68,23.0
"Cuối Kim giang, Linh Đàm XalaChưa đến 4 tỷ lô góc dân xây 45m Tả Thanh Oai Thanh Trì",Nhà,Thanh Trì,3.0,3.95,45.0
"Nhà mới xây đẹp như khách sạn 5 sao gần phố Tây Sơn, Đống Đa",Nhà,Đống Đa,5.0,7.5,43.0
Bán nhà riêng 35m2 5 tầng tại phố Đội Cấn,Nhà,Ba Đình,3.0,7.7,35.0
"Bán nhà VIP Xuân Đỉnh mặt ngõ thông - 9,6 tỷ - 5 tầng x 32m2, ô tô tránh nhau",Nhà,Bắc Từ Liêm,3.0,9.6,32.0
"Nhà đẹp chu huy mân 60m2,5t oto tránh -lô góc- kinh doanh - nhà mới thang máy - oto 7 chỗ vào nhà",Nhà,Long Biên,4.0,13.25,60.0
Căn 2PN - The Matrix One Mỹ Đình | View đẹp - Giá tốt - Sổ đỏ lâu dài,Căn hộ chung cư,Nam Từ Liêm,2.0,8.9,83.1
"Bán nhanh căn hộ 07, giá tốt bao toàn thị trường, nhà đẹp full đồ ở được ngay, liên hệ [phone_number]",Căn hộ chung cư,Hà Đông,3.0,5.75,121.0
Lạc Long Quân - 43m2 x 5 tầng - Ngõ thông Ô tô tránh - Thang máy - Kinh doanh.,Nhà,Tây Hồ,5.0,10.7,43.0
"Bán nhà Võ Chí Công, lô góc 3 thoáng, ô tô tránh, KD, 79m2x8T, 27.5 tỷ",Nhà,Tây Hồ,4.0,27.5,79.0
Cả ngõ còn duy nhất 1 căn !!! bán nhà phân lô ngõ 36 đào tấn 50m2 - 4 tầng - mặt tiền 3.4m- 13.7 tỷ,Nhà,Ba Đình,3.0,13.7,50.0
"(Giá chuẩn) bán căn góc 3 ngủ 2WC 110m2, ban công Đông Nam, nhà đẹp, sẵn sổ. Giá 9,4 tỷ Golden Palm",Căn hộ chung cư,Thanh Xuân,3.0,9.4,110.0
"Rẻ hiếm! Phân lô Hoàng Quốc Việt, ô tô tránh, vỉa hè, 1 nhà ra phố, full tiện ích, kd đỉnh, 50M*4T",Nhà,Cầu Giấy,4.0,13.0,50.0
BÁN NHÀ HOÀNG CẦU - MAI ANH TUẤN - 47M x 5 TẦNG - Ô TÔ ĐỖ CỔNG - SAU 1 NHÀ RA PHỐ - AN SINH ĐỈNH,Nhà,Đống Đa,3.0,15.3,47.0
"Chính chủ bán căn 3 ngủ dự án 282 Nguyễn Huy Tưởng - Sẵn sổ giao dịch, full nội thất",Căn hộ chung cư,Thanh Xuân,3.0,7.3,103.0
Căn 3PN 101.5m2 tầng trung duy nhất toà S1 - The Senique - Capitaland - Giá chỉ 75tr/m2 - City View,Căn hộ chung cư,Gia Lâm,3.0,7.66,101.5
"Căn hộ 1PN + đẹp, view thoáng Zenpark Vinhomes Ocean Park 1, full nội thất đẹp, sổ đỏ sẵn sàng gd",Căn hộ chung cư,Gia Lâm,1.0,2.9,48.2
"Bán căn hộ 2 phòng ngủ chung cư Vĩnh Hoàng, CT1, CT2 Vĩnh Hoàng, giá từ 3,35 tỷ",Căn hộ chung cư,Hoàng Mai,2.0,3.35,55.0
Chủ nhà cần bán nhà 3 tầng diện tích 157m2. Mặt tiền 10m8. Giá 8tỷ7,Nhà,Đông Anh,4.0,8.7,157.0
"Siêu phẩm kinh doanh Quang Trung Hà Đông DT 33m2, 5tầng hơn 6tỷ, ô tô tránh nhau, kinh doanh",Nhà,Hà Đông,3.0,6.6,33.0
"Bán căn hộ 2PN, 2WC, 90m2 tại 54 Hạ Đình, Thanh Xuân, Hà Nội, giá 4,88 tỷ:[phone_number]",Căn hộ chung cư,Thanh Xuân,2.0,4.88,90.0
"Bán nhà riêng tại Cầu Giấy, 13,6 tỷ, 45m2, 5PN, 5WC, pháp lý đầy đủ, mặt tiền 3.4m, ngõ rộng 8m",Nhà,Cầu Giấy,5.0,13.6,45.0
"Siêu phẩm hoàng mai: galia hanoi- vốn 750tr- giá từ 70tr/m2- sở hữu ngay căn hộ 1n+, 2n, 3n, ck 19%",Căn hộ chung cư,Hoàng Mai,1.0,3.1,46.0
Bán gấp Xuân Thủy - 36m2 x 6T - 4 ngủ khép kín - gần phố - 7 tỷ hơn,Nhà,Cầu Giấy,4.0,7.68,36.0
"Bán Căn hộ chung cư HH2 Linh Đàm, 3,28 tỷ, 76m2, 3PN, 2WC, view đẹp",Căn hộ chung cư,Hoàng Mai,3.0,3.28,76.0
"Bán gấp căn hộ 133m2, 3PN, cửa Nam, ban công Bắc, full đồ, CC Dolphin Plaza. Giá 55 tr/m2",Căn hộ chung cư,Nam Từ Liêm,3.0,7.315,133.0
"Căn độc quyền, The Matrix One Premium, DT 85,2m2, full NT, giá 10,17 tỷ, HTLS 70%, LH [phone_number]",Căn hộ chung cư,Nam Từ Liêm,2.0,10.17,85.2
"Bán nhà mới xây 5 tầng full nội thất, Thượng Thanh Long Biên. Diện tích: 34m². Mặt tiền: 3,9m",Nhà,Long Biên,5.0,7.9,34.0
"Bán nhà phân lô lô góc ô tô tránh vỉa hè rộng 3 thoáng 48m.14,6 đồng",Nhà,Bắc Từ Liêm,4.0,14.6,48.0
"Bán căn hộ FLC Quang Trung, 100m 3 ngủ nhà đẹp",Căn hộ chung cư,Hà Đông,3.0,5.3,100.0
"Bán CC đẹp tại C14 - Bộ Công An, 70 triệu / m2, 82.5m2, 2PN, 2WC, view đẹp, thoáng mát nhất toà",Căn hộ chung cư,Nam Từ Liêm,2.0,5.61,82.5
"Bán căn hộ n2f , đủ đồ , nhà đẹp , 55m2 ,2 ngủ ,vs , 3ty95 , lh [phone_number]",Căn hộ chung cư,Thanh Xuân,2.0,3.95,55.0
"Bán nhanh căn 3pn, dt 81m2 tại Florence Mỹ Đình, Giá 6.150 tỷ bao phí, nhà full đồ lh [phone_number]",Căn hộ chung cư,Nam Từ Liêm,3.0,6.15,81.0
"Bán nhà phố Minh Khai - 20m x 4 tầng - ba gác đỗ cửa, full nội thất - sổ đỏ chính chủ - chỉ 2,65 tỷ",Nhà,Hai Bà Trưng,2.0,2.65,20.0
"BÁN NHÀ NGUYÊN CĂN GẦN TRƯƠNG ĐỊNH- SÁT OTO, DÂN XÂY- 40M- 6.98 TỶ",Nhà,Hoàng Mai,3.0,6.98,40.0
"Cần bán nhà DT 32,5m, mặt tiền 4m nhà cấp 4 có gác xép ở luôn tại ngõ 562 Phường Ngọc Thụy.",Nhà,Long Biên,2.0,5.1,32.5
"Căn hộ 3PN 94m², full nội thất N02T3 Ngoại Giao Đoàn, tầng trung, thiết kế hợp lý, giá bán tốt nhất",Căn hộ chung cư,Bắc Từ Liêm,3.0,8.5,94.0
"Bán gấp nhà 5T LÔ GÓC 28m- 2 mặt ngõ- 500M ra Đh Bách Khoa Sđ nở hậu Hk 2 Bà chỉ 4,95 tỷ CTL",Nhà,Hai Bà Trưng,4.0,4.95,28.0
"Bán gấp nhà đẹp Phố Lạc Trung, Vỉa hè rộng,Phân Lô ô tô tránh, DT rộng 90m x 4T, 27.9 tỷ [phone_number]",Nhà,Hai Bà Trưng,4.0,27.9,90.0
Bán căn hộ cao cấp goldsilk complex 2n1w - 68m2 full tiện ích giá 4.2 tỷ - lh [phone_number],Căn hộ chung cư,Hà Đông,2.0,4.2,68.0
"Chủ cần bán gấp biệt thự sân vườn phố Nguyễn Lam, kinh doanh, cho thuê dòng tiền, ở sướng",Nhà,Long Biên,4.0,26.0,150.0
"Nhà Nghĩa Dũng, Ba Đình ô tô đỗ cửa, dân trí cao, đầu tư đỉnh",Nhà,Ba Đình,4.0,9.0,41.0
"Bán CC 2PN, 2WC, 70m2 giá ưu đãi tại Mai Chí Thọ, Giang Biên, Long Biên, Hà Nội",Căn hộ chung cư,Long Biên,2.0,3.59,70.0
"Bán căn hộ đẹp lô góc, tầng đẹp. DT 140m2, 4PN, 2WC, tại Nàng Hương, 7 tỷ, 140m2, Hà Đông, HN",Căn hộ chung cư,Hà Đông,4.0,7.0,140.0
Bán gấp nhà đẹp Thanh Xuân chủ đi để lại cả dép,Nhà,Thanh Xuân,4.0,12.5,44.0
"Bán căn 2 phòng ngủ 1WC 66m2, sổ đỏ chính chủ, giá chỉ 50 triệu/m2",Căn hộ chung cư,Hoàng Mai,2.0,3.3,66.0
"***giá tốt - chính chủ phương mai , đường ô tô , 2 thoáng trước sau , kinh doanh",Nhà,Đống Đa,4.0,17.2,60.0
"Chính chủ bán cắt lỗ CH 2PN 54,8m2 giá 3,6 tỷ tại Vinhomes Smart City, Tây Mỗ, Nam Từ Liêm, Hà Nội",Căn hộ chung cư,Nam Từ Liêm,2.0,3.6,54.8
"Bán nhà Gia Thuỵ 640 NVC - 45m2x4T - oto vào nhà - chỉ 8,9tỷ thương lượng - vị trí siêu đẹp ở sướng",Nhà,Long Biên,3.0,8.9,45.0
Bán Nhà 43m2 x 5 tầng x 7.6 tỷ. Dương quảng Hàm.Cầu Giấy.nhà xây chắc chắn.full nội thất.30m ra oto,Nhà,Cầu Giấy,4.0,7.6,47.0
"Bán nhà đường Thành Công 31m2 - 4tầng - 4.5tỷ, ngõ nông, gần ôtô",Nhà,Ba Đình,3.0,4.5,31.0
"Bán nhà đường Ngọc Thuỵ- Hồng Tiến: sát phố, ô tô đỗ cửa, full nội thất, 5 tầng, 36m, chỉ 6tỷ6",Nhà,Long Biên,3.0,6.6,36.0
Bán căn hộ chung cư cao cấp Kosmo Tây Hồ đường Xuân La – View Hồ Tây – 118m2,Căn hộ chung cư,Bắc Từ Liêm,3.0,12.0,118.0
Bán biệt thự đẹp trung tâm Việt Hưng 192m2 mặt tiền 12m giá 64 tỷ bao la tiện ích - kinh doanh hiếm,Biệt thự/Nhà liền kề,Long Biên,5.0,64.0,192.0
Quỹ căn sang nhượng giá tốt nhất thị trường,Căn hộ chung cư,Long Biên,3.0,7.0,120.0
"Quỹ căn stu, 1-3PN chính chủ view đẹp giá rẻ, pháp lý rõ ràng miễn 100% phí MG tại Vin Oceanpark 1",Căn hộ chung cư,Gia Lâm,2.0,2.75,59.0
"Lò Đúc HBT, 6 tầng thang máy, ngõ rộng, gần ô tô, ở sướng",Nhà,Hai Bà Trưng,6.0,11.0,50.0
"Bán nhà Dốc Phụ Sản, lô góc, 3 thoáng, thang máy, dòng tiền, DT 90m2* MT 5.5m* giá 16.6 tỷ",Nhà,Đống Đa,11.0,16.6,90.0
"Bán nhà Quan Nhân 45m2, 9 tỷ - Ngõ nông, gần phố, gần ô tô, sổ vuông đẹp, nhà chắc chắn",Nhà,Thanh Xuân,4.0,9.0,45.0
"Nhà đẹp kđt văn phú, hà đông, ô tô qua ngõ ,2 mặt thoáng , dt45m x 3t, giá 10,95t",Nhà,Hà Đông,3.0,10.95,45.0
Bán căn hộ 2PN + view biển hồ lung linh,Căn hộ chung cư,Gia Lâm,2.0,5.53,69.2
"Bán nhà đẹp cuối đường Bà Triệu-Hà Đông công viên 365, chợ HĐ ngõ thoáng 34m2x5T full nội thất-5tỷx",Nhà,Hà Đông,3.0,5.8,34.0
"Bán nhà Thái hà - ô tô tránh - kinh doanh đỉnh 45m2, mặt tiền 4m, hơn 16 tỷ",Nhà,Đống Đa,4.0,17.0,45.0
"Bán căn hộ 68,5m chung cư Gelexia 885 Tam Trinh - Yên Sở - Hoàng Mai",Căn hộ chung cư,Hoàng Mai,2.0,4.5,68.0
"Bán căn hộ 70m2 2N+1-2WC- khách. Giá 3,25tỷ tại KDT Đặng Xá, phun nội thất. Sổ đỏ chính chủ.",Căn hộ chung cư,Gia Lâm,3.0,3.25,70.0
Bán căn hộ tập thể tầng 2 căn góc DT 50m nhà thoáng đẹp ngõ ôtô phố Cầu Giấy-gần Đê La Thành-Kim Mã,Căn hộ chung cư,Cầu Giấy,2.0,3.1,50.0
"Gia chủ cần bán căn hộ 82m2, 2PN, cửa ĐN, chung cư The Park Home. Gía 6.9 tỷ. Có thương lượng",Căn hộ chung cư,Cầu Giấy,2.0,6.9,82.0
Bán nhà phố Văn Cao - 300m ra hồ Tây - ở và kinh doanh đẹp,Nhà,Ba Đình,5.0,13.9,57.0
"Bán nhà Cát Linh - Trung tâm Đống Đa, vừa ở vừa cho thuê - 37.5m² - 8.3 tỷ",Nhà,Đống Đa,3.0,8.3,37.5
Bán gấp nhà Phúc Xá - nội thất tiền tỷ về ở ngay - giáp ranh Ba Đình - Hoàn Kiếm - Tây Hồ,Nhà,Ba Đình,3.0,7.9,43.0
Chuyển đổi lên căn 3PN cần bán 2PN2VS 72m2 giá tốt nhất dự án The Charm,Căn hộ chung cư,Hà Đông,2.0,5.5,72.0
"Chính chủ bán gấp căn hộ tập thể tầng 2 tại 199 Hồ Tùng Mậu, DT 30/60m 2 ngủ 2 ban công, giá 2.85tỷ",Căn hộ chung cư,Cầu Giấy,1.0,2.8,60.0
Chính chủ bán nhà ô tô đỗ cổng 39 m2 xây 6 tầng thang máy,Nhà,Long Biên,3.0,8.5,39.0
Lê Đại Hành - Nguyễn Đình Chiểu - công viên Thống Nhất - 32m2 - 4 tầng - nhỉnh 6 tỷ,Nhà,Hai Bà Trưng,3.0,6.5,32.0
"(Căn hoa hậu 2 phòng ngủ). "" Do chuyển công tác nên chủ nhà muốn bán gấp căn 2 phòng ngủ Goldmark",Căn hộ chung cư,Bắc Từ Liêm,2.0,6.3,83.0
"Chính chủ gửi bán nhà Trung Kính 50m2, 4 tầng, mặt tiền 4m. Nhà hoa hậu sát mặt phố giá chỉ 10.5tỷ",Nhà,Cầu Giấy,3.0,10.5,50.0
"Bán căn CC Hoà Phát 70 Nguyễn Đức Cảnh Hoàng Mai 98,2m2 3 PN, giá 7.1 tỷ có slot ô tô",Căn hộ chung cư,Hoàng Mai,3.0,7.1,98.2
"Siêu phẩm mặt hồ ngọc lâm, long biên.vỉa hè ô tô tránh kinh doanh.250m2,mt 12m.giá rẻ đầu tư.",Nhà,Long Biên,4.0,54.8,250.0
"Không ảo, Thống Nhất Complex: Hiếm 122m2 - 9.3 tỷ, 93m2 - 7.9 tỷ, 88m2 - 7.5 tỷ, LH",Căn hộ chung cư,Thanh Xuân,4.0,9.5,122.0
Bán nhà Nguyễn Khánh Toàn - dân xây 46m2 - 9.5 tỷ,Nhà,Cầu Giấy,5.0,9.5,46.0
Cần bán căn hộ N01 Tây Nam Linh Đàm 69m2 giá chỉ 45 triệu/m2,Căn hộ chung cư,Hoàng Mai,2.0,3.11,69.0
Bán nhà đẹp - hoàng hoa thám - ba đình - full nội thất - ô tô 5m - ở ngay- nhõ thông thoáng,Nhà,Ba Đình,3.0,8.65,35.0
"Độc quyền quỹ 2PN-3PN view trực diện hồ Ngọc Trai, hồ 28ha giá chiết khấu CĐT cao nhất thị trường.",Căn hộ chung cư,Gia Lâm,2.0,4.0,68.0
"Cần bán căn 85m2 - 3PN tầng trung bc Đông Nam giá 5.5 tỷ chung cư Anland Premium, [phone_number]",Căn hộ chung cư,Hà Đông,3.0,5.5,85.0
"Chính chủ bán căn hộ tại Gemek Tower 1 , 65m2 2 ngủ - Giá 3,5 tỷ ( bao thuế phí ) LH:[phone_number]",Căn hộ chung cư,Hoài Đức,2.0,3.5,65.0
"Bán căn hộ 1PN, 1WC tại The Sapphire-Vinhomes Smart City,Giá 3,31 tỷ, 42,8 m2. Tuấn",Căn hộ chung cư,Nam Từ Liêm,1.0,3.31,42.8
"Vũ Tông Phan, Thanh Xuân, Ô tô, Kinh doanh, Ngõ Thông 40m 5 tầng giá 8.32 tỷ",Nhà,Thanh Xuân,4.0,8.32,40.0
"Bán nhà riêng tại Xuân La, 9,5 tỷ, 47 m2, giá cực chất",Nhà,Tây Hồ,5.0,9.5,47.0
"Chính chủ cần bán nhà mặt phố Hoàng Ngân kinh doanh bất chấp. Đường to, ô tô thông, gần Ngã Tư Sở",Nhà,Thanh Xuân,4.0,13.3,55.0
"Cực hiếm! Nhà 4 tầng gần bến xe Yên Nghĩa, gần tổ 2, có sổ. Chỉ 3, x tỷ. Lh [phone_number]",Nhà,Hà Đông,4.0,3.8,35.0
"Vip 90m2 mặt phố tô hiệu- cầu giấy - 46,5tỷ- kinh doanh cực đỉnh - dòng tiền ổn định 80 triệu/tháng",Nhà,Cầu Giấy,5.0,46.5,90.0
Bán nhà thanh đàm mặt ngõ ô tô - 35m nhô 5 tỷ sổ vuông nở hậu .,Nhà,Hoàng Mai,5.0,5.49,35.0
"Bán gấp siêu phẩm chung cư Goldmark City 100m2 - 3 phòng ngủ - full nội thất cao cấp chỉ 7,35 tỷ",Căn hộ chung cư,Bắc Từ Liêm,3.0,7.35,100.0
Bán gấp nhà phố kim ngưu 30m - gần oto - ngõ rộng - nội thất đẹp - ở ngay - 5.35 tỷ,Nhà,Hai Bà Trưng,3.0,5.35,30.0
Nhà đẹp - oto đỗ cổng - nội thất xịn mịn - một bước ra phố Thanh Am,Nhà,Long Biên,3.0,5.9,30.0
"Chính Chủ! Bán nhà Nguyễn Chính, 35m, 4 tầng, ô tô tránh, ngõ siêu to. Giá 6.5 tỷ",Nhà,Hoàng Mai,4.0,6.5,35.0
"Hót! Phố Hào Nam, ngõ thông 3 gác tránh, cách ô tô chỉ 30m, dt 46m2 x 5T, giá nhỉnh 8 tỷ",Nhà,Đống Đa,3.0,8.35,46.0
"Bán căn nhà riêng 5 tầng ngõ 59 Phạm Văn Đồng, Mai Dịch, Cầu Giấy, Hà Nội, giá 7,6 tỷ, 33 m2",Nhà,Cầu Giấy,4.0,7.6,33.0
Bán căn hộ siêu Hot - giá cực mềm - 80m2 tại SS Riverside. Liên hệ [phone_number] để xem trực tiếp,Căn hộ chung cư,Tây Hồ,2.0,6.85,80.0
Căn hộ hiếm tại tòa B Sông Nhuệ đủ đồ xịn giá còn thương lượng!,Căn hộ chung cư,Hà Đông,2.0,3.13,69.0
"Bán nhà riêng 4 tầng, 5PN, 48m2, Kinh doanh, oto đỗ cửa, giá 11,5 tỷ tại Bạch Mai, siêu hot!",Nhà,Hai Bà Trưng,4.0,11.5,48.0
"Bán nhà 5 tầng, Vũ Văn Cẩn, Hà Đông, ô tô, thang máy, 2 thoáng",Nhà,Hà Đông,4.0,16.899999999,60.0
Bán nhà ngõ 84 ngọc khánh dt 56m2 5 tầng - 2 thoáng - ở hưởng thụ - ô tô cách 30m,Nhà,Ba Đình,3.0,13.9,56.0
"Cắt lỗ bán rẻ căn 2PN+1, Dt: 65m2 giá 3 tỷ 850 (bao phí) sẵn sổ, full đồ tòa CC Vinhomes Smart City",Căn hộ chung cư,Nam Từ Liêm,2.0,3.85,65.0
Nguyễn Phong Sắc - ô tô - gần phố - ngõ thông - 10.9 tỷ,Nhà,Cầu Giấy,3.0,10.9,35.0
"Hà Trì- cách ô tô 10m. DT: 55m- mt 5m- giá 8 tỷ. Vị trí đẹp, cách ô tô 10m.",Nhà,Hà Đông,1.0,8.0,55.0
"Bán gấp căn hộ DT 97m2 TK 3PN + 1, 3WC, Viha Complex - 107 Nguyễn Tuân, sổ lâu dài - LH",Căn hộ chung cư,Thanh Xuân,3.0,9.5,97.0
Nhỉnh 3 tỷ - Căn hộ tập thể lõi Đống Đa full tiện ích chỉ xách vali về ở,Căn hộ chung cư,Đống Đa,2.0,3.6,60.0
Siêu hiếm giải phóng - gần phố - mới tinh - tặng full nội thất,Nhà,Hoàng Mai,3.0,6.7,35.0
Chính chủ cần bán gấp căn hộ 54m2 thiết kế 1 ngủ + 1 full nội thất CC Mỹ Đình Pearl Lh: [phone_number],Căn hộ chung cư,Nam Từ Liêm,1.0,4.3,54.0
"Nhà Đẹp, Thang Máy Võ Thị Sáu, Hai Bà Trưng 40m, 7 tầng, mt 4m, giá 17.8 tỷ.",Nhà,Hai Bà Trưng,4.0,17.8,40.0
"Nhà Đẹp giá nét, nhỉnh 1,3 tỷ sở hữu căn hộ 36m-1Pn toà CT10 Chung Cư Đại Thanh, nhà full nội thất",Căn hộ chung cư,Thanh Trì,1.0,1.35,36.0
"Bán nhà phường Dương Nội - Hà Đông - diện tích 79m2 - 6,9 tỷ",Nhà,Hà Đông,3.0,6.9,79.0
"Bán nhà 43,8m2 giá 3tỷ4xx sổ đỏ chuẩn nhà không lỗi phong thủy gì gần Quốc lộ 21B chợ, trường",Nhà,Thanh Oai,4.0,3.47,43.8
"Bán nhà riêng tại gần Rice City Long Biên, 5,9 tỷ, 30m2, 3PN, 4WC",Nhà,Long Biên,3.0,5.9,30.0
"Căn hộ 104m2. 3PN, Full đồ, tại chung cư Tràng An Complex - Cầu Giấy, giá rẻ 9,99tỷ. LH [phone_number]",Căn hộ chung cư,Cầu Giấy,3.0,9.99,104.0
"Bán CC The Pride, Tố Hữu, Hà Đông, 5,4 tỷ, 102m2, 3PN, 3WC, bao đẹp",Căn hộ chung cư,Hà Đông,3.0,5.4,102.0
"Cô Hà bán căn hộ tại Rivera. Giá 5,6 tỷ, 71m2, 2PN2WC, tầng trung. LH [phone_number]",Căn hộ chung cư,Thanh Xuân,2.0,5.6,72.0
"Bán nhà phố Bồ Đề, 80 m2, 3 tầng, mặt tiền 6m giá 9,8 tỷ",Nhà,Long Biên,4.0,9.8,80.0
